Category: All categories

Region,escape room: (10/1/15 - 11/1/15)
Delaware,100
Indiana,63
Nebraska,59
Virginia,57
Pennsylvania,54
Maine,52
New Jersey,48
District of Columbia,47
North Dakota,45
West Virginia,44
New York,43
Maryland,41
Missouri,41
Tennessee,38
Arizona,37
Arkansas,36
Colorado,33
Louisiana,33
Illinois,32
Georgia,32
Michigan,31
Massachusetts,31
California,28
New Mexico,27
Florida,26
Wisconsin,26
Ohio,25
Connecticut,24
Wyoming,24
Texas,23
Montana,22
Mississippi,20
Utah,19
South Carolina,19
Washington,19
Kansas,18
Iowa,18
North Carolina,17
South Dakota,17
Nevada,17
Minnesota,16
Kentucky,16
Oregon,15
Rhode Island,13
Alabama,13
Idaho,13
Oklahoma,13
New Hampshire,11
Alaska,8
Hawaii,4
Vermont,
