Category: All categories

Region,escape room: (2/1/13 - 3/1/13)
Arkansas,100
Alaska,89
North Dakota,78
South Dakota,54
Maine,51
Tennessee,51
Vermont,49
Kentucky,47
Indiana,46
Montana,43
Delaware,41
Missouri,37
Iowa,32
Rhode Island,29
West Virginia,29
Colorado,28
Nebraska,28
Michigan,28
Pennsylvania,28
Alabama,26
Washington,26
Oklahoma,26
Idaho,26
Kansas,24
Ohio,24
Illinois,24
New Mexico,23
Oregon,23
California,23
New Hampshire,23
North Carolina,22
Maryland,21
Connecticut,21
Louisiana,20
Massachusetts,19
Mississippi,19
New York,19
New Jersey,19
South Carolina,19
District of Columbia,18
Georgia,18
Utah,18
Wisconsin,17
Texas,16
Virginia,15
Arizona,15
Minnesota,14
Florida,12
Hawaii,
Nevada,
Wyoming,
