Category: All categories

Region,escape room: (7/1/16 - 8/1/16)
Delaware,100
Arkansas,80
Virginia,75
Vermont,74
District of Columbia,69
Missouri,68
Indiana,67
Louisiana,66
Pennsylvania,62
New Jersey,60
Florida,57
Maine,57
South Carolina,56
Kansas,53
Arizona,53
West Virginia,52
Tennessee,52
Nebraska,51
Maryland,51
Georgia,47
Texas,47
Colorado,47
New York,46
North Carolina,43
Wisconsin,41
Alabama,41
Hawaii,41
Ohio,41
Michigan,40
North Dakota,40
Rhode Island,40
South Dakota,39
Massachusetts,39
Mississippi,38
Illinois,38
California,37
Connecticut,37
Wyoming,36
Utah,33
Nevada,33
New Mexico,32
Minnesota,31
Oregon,29
Alaska,29
New Hampshire,25
Iowa,24
Kentucky,20
Oklahoma,20
Idaho,19
Washington,18
Montana,18
