Category: All categories

Region,escape room: (12/1/13 - 1/1/14)
North Dakota,100
Rhode Island,57
New Hampshire,52
Alabama,48
West Virginia,47
South Dakota,42
Tennessee,39
Kentucky,38
Alaska,36
Connecticut,36
Washington,34
Maine,31
Arkansas,31
Kansas,31
Idaho,30
Mississippi,29
Delaware,28
Massachusetts,28
Arizona,27
Hawaii,26
Missouri,25
Iowa,24
Wisconsin,24
Illinois,24
New Jersey,22
North Carolina,22
Texas,22
Pennsylvania,22
Ohio,21
Indiana,21
New York,21
Colorado,21
Minnesota,20
Maryland,20
Louisiana,19
Utah,19
California,19
New Mexico,18
Oregon,18
Oklahoma,17
Virginia,17
Florida,16
South Carolina,15
Michigan,14
Nevada,12
Georgia,11
District of Columbia,
Montana,
Nebraska,
Vermont,
Wyoming,
