Category: All categories

Region,escape room: (7/1/17 - 8/1/17)
Missouri,100
Virginia,97
Delaware,97
Pennsylvania,95
New Jersey,95
New Hampshire,94
Florida,94
District of Columbia,94
South Carolina,91
Louisiana,90
Rhode Island,89
Maryland,88
Arkansas,83
Nebraska,81
North Carolina,80
Indiana,80
Utah,78
Wisconsin,73
Texas,73
Tennessee,72
Michigan,71
Vermont,70
Georgia,69
Maine,69
Minnesota,68
Mississippi,68
Arizona,67
West Virginia,67
Illinois,65
Kansas,64
Nevada,64
Alaska,63
Ohio,61
North Dakota,61
New York,61
Colorado,61
Connecticut,59
Massachusetts,59
New Mexico,58
Alabama,57
California,57
Hawaii,56
Wyoming,53
Oklahoma,48
South Dakota,47
Iowa,47
Oregon,45
Kentucky,41
Idaho,40
Washington,36
Montana,35
