Category: All categories

Region,escape room: (12/1/16 - 1/1/17)
Delaware,100
Pennsylvania,83
New Jersey,82
Missouri,79
Virginia,78
District of Columbia,76
Indiana,74
Nebraska,72
Maine,69
Maryland,65
Arkansas,65
Colorado,63
Utah,63
Vermont,61
Michigan,60
Florida,57
Louisiana,56
Wisconsin,55
Illinois,55
New York,54
Georgia,52
Texas,52
Arizona,52
Massachusetts,51
Rhode Island,51
Mississippi,50
Connecticut,50
Minnesota,49
Ohio,49
Tennessee,48
Kansas,47
North Carolina,47
Montana,46
North Dakota,43
South Carolina,42
California,41
Hawaii,41
West Virginia,40
Nevada,39
Oregon,37
South Dakota,37
New Hampshire,36
Idaho,36
New Mexico,36
Kentucky,35
Alabama,34
Washington,32
Oklahoma,27
Iowa,25
Wyoming,19
Alaska,17
