Category: All categories

Region,escape room: (11/1/14 - 12/1/14)
Alaska,100
New York,95
South Dakota,83
New Jersey,66
Pennsylvania,64
District of Columbia,61
Nevada,61
Connecticut,51
Rhode Island,47
Idaho,44
New Hampshire,44
Mississippi,43
Massachusetts,42
Utah,42
North Dakota,41
North Carolina,40
Washington,38
Oklahoma,38
Delaware,38
Nebraska,36
Maine,35
Montana,35
Minnesota,35
South Carolina,33
Colorado,33
Indiana,32
Kentucky,30
Ohio,29
Texas,29
Tennessee,29
Georgia,27
Illinois,27
Maryland,27
Kansas,26
California,26
Florida,25
West Virginia,25
Arizona,23
Iowa,22
Virginia,21
Louisiana,20
Michigan,17
Arkansas,16
Missouri,15
Oregon,13
Hawaii,13
Wisconsin,12
Alabama,10
New Mexico,
Vermont,
Wyoming,
