Category: All categories

Region,escape room: (1/1/17 - 2/1/17)
Delaware,100
Maine,86
New Jersey,85
Pennsylvania,82
Indiana,77
District of Columbia,72
Missouri,70
North Dakota,68
Michigan,67
Nebraska,66
Virginia,64
New Hampshire,63
Connecticut,62
Maryland,60
Colorado,56
Arizona,56
Florida,55
Kansas,55
New York,55
Arkansas,55
Illinois,53
Wisconsin,52
Louisiana,51
Ohio,50
Massachusetts,50
Georgia,49
Minnesota,46
Alaska,46
Mississippi,45
Vermont,44
Rhode Island,43
Texas,43
Tennessee,43
North Carolina,42
Iowa,42
Utah,41
South Carolina,41
Idaho,41
California,39
Nevada,39
West Virginia,35
South Dakota,34
Oregon,33
New Mexico,33
Alabama,33
Montana,32
Hawaii,32
Washington,31
Kentucky,28
Oklahoma,27
Wyoming,24
