Category: All categories

Region,escape room: (8/1/14 - 9/1/14)
New York,100
Delaware,60
New Jersey,53
Connecticut,41
Alabama,37
Maine,37
Nevada,34
West Virginia,32
Iowa,31
South Dakota,31
Vermont,30
New Hampshire,28
Arkansas,27
Alaska,26
Louisiana,26
New Mexico,26
District of Columbia,25
Massachusetts,24
Montana,24
Maryland,23
Mississippi,22
Texas,21
Tennessee,21
California,20
Nebraska,19
Indiana,19
Pennsylvania,19
Florida,17
South Carolina,17
Rhode Island,17
Illinois,16
Kentucky,16
Georgia,16
Oregon,16
Idaho,15
Missouri,14
Ohio,14
Utah,13
North Carolina,13
Colorado,12
Kansas,12
Arizona,12
Michigan,11
Virginia,11
Washington,11
Hawaii,9
Wisconsin,9
Oklahoma,9
Minnesota,8
North Dakota,
Wyoming,
