Category: All categories

Region,escape room: (10/1/16 - 11/1/16)
Delaware,100
District of Columbia,96
Missouri,92
Louisiana,81
Indiana,79
New Jersey,77
Pennsylvania,77
Maine,75
Nebraska,72
Virginia,71
Arkansas,68
West Virginia,68
Maryland,64
Mississippi,64
Colorado,62
New York,60
Vermont,59
North Dakota,57
Montana,57
Kansas,55
Michigan,55
Utah,53
South Dakota,51
Nevada,50
Florida,50
Arizona,50
Illinois,49
South Carolina,47
Wisconsin,47
Tennessee,46
Ohio,46
Georgia,46
Massachusetts,46
Texas,44
Connecticut,43
Rhode Island,43
Minnesota,43
California,43
Hawaii,40
North Carolina,40
Iowa,37
Oregon,37
New Hampshire,36
Wyoming,34
Alaska,34
Alabama,33
New Mexico,33
Oklahoma,32
Kentucky,30
Idaho,29
Washington,25
