Category: All categories

Region,escape room: (10/1/13 - 11/1/13)
Delaware,100
South Dakota,69
Montana,55
Wyoming,34
North Dakota,33
Vermont,30
Nebraska,27
New Hampshire,24
Hawaii,23
Utah,22
Iowa,20
Arkansas,20
Kentucky,19
Alaska,19
Louisiana,18
Ohio,18
West Virginia,18
North Carolina,17
New Jersey,17
Idaho,16
Maine,16
Mississippi,16
Washington,15
Michigan,15
Missouri,13
Arizona,13
Texas,13
Virginia,12
Rhode Island,12
South Carolina,12
Pennsylvania,12
Colorado,12
Indiana,11
Georgia,11
Massachusetts,11
Nevada,11
Tennessee,10
Wisconsin,10
California,9
Florida,9
New Mexico,9
New York,9
Maryland,9
Oregon,9
Connecticut,9
Kansas,9
Minnesota,8
Illinois,7
Alabama,7
Oklahoma,5
District of Columbia,
