Category: All categories

Region,escape room: (7/1/13 - 8/1/13)
Vermont,100
Oklahoma,81
Wisconsin,81
Kentucky,79
Alaska,73
Delaware,72
Louisiana,71
South Dakota,71
Idaho,64
West Virginia,62
Tennessee,61
Indiana,60
North Carolina,58
Pennsylvania,57
Alabama,56
New Hampshire,55
New Mexico,55
Washington,51
Utah,50
Missouri,50
Ohio,50
South Carolina,48
Michigan,48
Rhode Island,47
Mississippi,46
North Dakota,45
Massachusetts,43
Texas,43
Maryland,42
Georgia,41
Hawaii,40
Arkansas,39
Iowa,37
Arizona,37
Illinois,36
Minnesota,35
New Jersey,35
California,34
New York,34
Virginia,33
Florida,33
Colorado,32
Maine,31
Nevada,30
Nebraska,29
Kansas,25
Connecticut,23
Oregon,19
District of Columbia,18
Montana,
Wyoming,
