Category: All categories

Region,escape room: (4/1/17 - 5/1/17)
Delaware,100
Maine,90
New Jersey,89
Indiana,88
Pennsylvania,87
Virginia,85
District of Columbia,82
Missouri,82
Maryland,80
Arkansas,78
North Dakota,76
Michigan,75
Nebraska,74
Utah,70
Florida,70
Arizona,69
Rhode Island,68
Colorado,68
Wisconsin,66
New York,64
South Carolina,62
Georgia,61
Illinois,61
North Carolina,60
Connecticut,60
Louisiana,58
Ohio,58
Massachusetts,58
Minnesota,57
West Virginia,56
Nevada,56
Texas,56
Tennessee,55
New Hampshire,54
Mississippi,54
Kansas,53
Vermont,50
California,48
Montana,45
New Mexico,44
Oregon,44
Oklahoma,42
Wyoming,41
Iowa,41
Kentucky,40
Idaho,39
Alaska,39
Washington,37
Hawaii,34
Alabama,31
South Dakota,25
