Category: All categories

Region,escape room: (8/1/17 - 9/1/17)
Delaware,100
District of Columbia,87
New Jersey,80
Virginia,73
Maryland,71
South Carolina,70
Pennsylvania,67
New Hampshire,65
Michigan,62
Florida,61
Arkansas,60
Louisiana,59
Maine,59
Wisconsin,58
Indiana,57
West Virginia,55
North Carolina,55
Minnesota,54
Utah,54
Mississippi,52
Missouri,52
Arizona,51
Illinois,50
Vermont,49
Connecticut,49
Colorado,49
New York,47
Nebraska,47
Texas,47
Massachusetts,46
Tennessee,45
Idaho,44
California,44
Georgia,44
North Dakota,42
Rhode Island,41
Nevada,41
Kansas,40
Ohio,40
Alaska,39
South Dakota,39
Oklahoma,37
Wyoming,36
Oregon,36
New Mexico,36
Washington,34
Hawaii,32
Iowa,32
Alabama,30
Montana,26
Kentucky,22
