Category: All categories

Region,escape room: (3/1/17 - 4/1/17)
Delaware,100
Maine,84
Missouri,83
District of Columbia,81
Virginia,78
Indiana,76
Arkansas,75
Pennsylvania,74
New Jersey,72
New Hampshire,67
Michigan,65
North Dakota,64
Maryland,63
Florida,62
Wisconsin,62
Utah,60
Nebraska,60
Rhode Island,60
Colorado,59
Illinois,59
Ohio,55
Texas,55
Mississippi,54
Minnesota,54
Kansas,54
Louisiana,53
New York,53
West Virginia,53
Connecticut,52
Arizona,50
Tennessee,50
Nevada,50
Massachusetts,49
Vermont,48
South Carolina,47
Georgia,47
South Dakota,46
Wyoming,46
Idaho,45
North Carolina,42
Alaska,41
Oregon,41
California,40
New Mexico,39
Iowa,38
Montana,36
Washington,36
Oklahoma,35
Kentucky,31
Alabama,29
Hawaii,27
