Category: All categories

Region,escape room: (9/1/18 - 10/1/18)
Utah,100
Montana,95
Pennsylvania,86
Nevada,83
Virginia,82
Nebraska,82
Idaho,80
Louisiana,79
Arizona,78
North Dakota,78
Vermont,77
Michigan,77
New Jersey,76
District of Columbia,75
Florida,75
West Virginia,74
New Mexico,72
Wisconsin,71
Maryland,70
Colorado,70
Missouri,69
Indiana,68
Iowa,68
Mississippi,68
Illinois,68
New Hampshire,67
Texas,67
Washington,65
Minnesota,64
California,64
Wyoming,62
Delaware,62
New York,62
Connecticut,61
Maine,61
Oregon,60
Arkansas,60
North Carolina,59
Oklahoma,58
Alaska,58
Tennessee,57
South Carolina,56
Georgia,56
Ohio,55
Massachusetts,50
Kansas,43
Kentucky,43
Hawaii,43
Alabama,38
South Dakota,36
Rhode Island,33
