Category: All categories

Region,escape room: (6/1/14 - 7/1/14)
New York,100
Wyoming,70
New Jersey,55
Rhode Island,51
West Virginia,50
Nevada,49
Vermont,45
North Dakota,45
Tennessee,43
Connecticut,42
New Hampshire,40
Delaware,37
Indiana,36
Pennsylvania,36
Idaho,32
Massachusetts,32
Kentucky,31
Oklahoma,28
Maryland,27
District of Columbia,27
California,27
Ohio,26
Wisconsin,25
Illinois,25
Texas,25
Washington,24
Maine,23
Arizona,23
Oregon,22
Virginia,22
New Mexico,20
Louisiana,19
Michigan,19
Hawaii,18
Georgia,18
Alabama,17
Florida,17
Arkansas,16
Utah,15
Colorado,15
Missouri,14
North Carolina,13
South Carolina,12
Kansas,11
Minnesota,11
Alaska,
Iowa,
Mississippi,
Montana,
Nebraska,
South Dakota,
