Category: All categories

Region,escape room: (9/1/13 - 10/1/13)
Alaska,100
Idaho,59
West Virginia,55
Kentucky,44
Vermont,37
Wisconsin,37
Delaware,35
Connecticut,34
Tennessee,34
Montana,32
Pennsylvania,28
South Carolina,28
Maine,28
Kansas,27
New Hampshire,26
Oklahoma,24
Washington,24
North Carolina,22
Maryland,22
Rhode Island,22
New York,21
New Jersey,21
Illinois,21
Nevada,21
Arkansas,21
Ohio,20
Missouri,20
Texas,20
Georgia,20
Indiana,20
Alabama,19
California,19
Florida,18
Utah,18
Massachusetts,18
Louisiana,18
Michigan,17
New Mexico,17
Virginia,16
Hawaii,16
Minnesota,16
Colorado,16
Oregon,15
Arizona,15
Iowa,10
District of Columbia,
Mississippi,
North Dakota,
Nebraska,
South Dakota,
Wyoming,
