Category: All categories

Region,escape room: (12/1/17 - 1/1/18)
North Dakota,100
Pennsylvania,98
Delaware,96
Minnesota,95
Virginia,95
Michigan,94
District of Columbia,92
Indiana,92
Wisconsin,92
Nebraska,90
Montana,86
Illinois,85
Colorado,85
New Jersey,84
New Hampshire,84
Missouri,79
Florida,79
Tennessee,78
Connecticut,78
Utah,78
Maine,76
Maryland,75
Kansas,75
Mississippi,73
New Mexico,71
Louisiana,71
Arizona,71
Massachusetts,70
New York,69
North Carolina,68
Ohio,68
Alaska,67
Vermont,67
South Carolina,66
Georgia,66
Idaho,65
Oklahoma,62
West Virginia,61
Oregon,61
Arkansas,60
South Dakota,60
California,59
Texas,59
Rhode Island,57
Washington,56
Iowa,54
Nevada,52
Hawaii,46
Alabama,45
Kentucky,42
Wyoming,40
