Category: All categories

Region,escape room: (7/1/15 - 8/1/15)
Maine,100
Montana,66
Pennsylvania,63
Arizona,63
Virginia,59
District of Columbia,56
Missouri,52
Louisiana,51
New York,51
New Jersey,47
Delaware,46
Georgia,44
New Mexico,43
South Dakota,42
Ohio,40
Kansas,40
Tennessee,39
Massachusetts,39
Wyoming,36
Maryland,35
Nebraska,34
Texas,33
Arkansas,32
Nevada,32
Colorado,31
Mississippi,31
Florida,29
California,29
North Carolina,28
Vermont,27
Michigan,27
Illinois,26
West Virginia,25
Iowa,23
Utah,21
Oklahoma,21
Rhode Island,20
Washington,20
Oregon,19
Indiana,18
South Carolina,17
Idaho,17
Hawaii,16
Minnesota,15
Connecticut,14
Wisconsin,14
North Dakota,13
New Hampshire,13
Kentucky,13
Alabama,12
Alaska,11
