Category: All categories

Region,escape room: (11/1/13 - 12/1/13)
Wyoming,100
Delaware,69
South Dakota,49
Maine,48
Hawaii,43
Arkansas,41
New Mexico,41
Louisiana,39
Rhode Island,35
Nebraska,34
Idaho,31
West Virginia,30
Missouri,27
Montana,26
Tennessee,25
Iowa,24
Kansas,24
Kentucky,24
Colorado,21
Oklahoma,19
Wisconsin,18
Michigan,17
New Jersey,17
New York,16
Indiana,16
Arizona,15
Pennsylvania,15
Washington,14
Illinois,14
New Hampshire,14
Ohio,13
Virginia,13
North Carolina,13
Alabama,13
Connecticut,13
Mississippi,13
Utah,12
Texas,12
Georgia,12
Nevada,12
Florida,11
California,11
Massachusetts,10
Maryland,10
Oregon,10
District of Columbia,9
South Carolina,9
Minnesota,8
Alaska,
North Dakota,
Vermont,
