Category: All categories

Region,escape room: (8/1/15 - 9/1/15)
Arizona,100
District of Columbia,100
Virginia,98
New Jersey,98
Pennsylvania,96
North Dakota,85
Kansas,85
Delaware,78
Arkansas,74
Maine,71
New York,70
Massachusetts,67
Ohio,65
Maryland,63
Georgia,60
Utah,60
West Virginia,59
Nebraska,59
Florida,59
Colorado,55
New Mexico,53
Texas,52
Louisiana,52
Tennessee,51
California,51
Oregon,49
Montana,49
Michigan,49
Missouri,48
Illinois,45
Vermont,45
Connecticut,42
Nevada,40
Wisconsin,39
North Carolina,38
Kentucky,37
South Dakota,35
Iowa,35
Minnesota,33
Washington,31
Oklahoma,31
Idaho,30
Alabama,29
New Hampshire,27
Indiana,24
Rhode Island,23
Mississippi,23
South Carolina,19
Hawaii,11
Alaska,
Wyoming,
