Category: All categories

Region,escape room: (6/1/16 - 7/1/16)
Delaware,100
District of Columbia,79
Missouri,74
Louisiana,71
Virginia,68
Indiana,64
Arizona,62
Arkansas,61
Nebraska,59
New Jersey,59
Pennsylvania,56
Georgia,56
Tennessee,56
Florida,53
Alabama,50
Maryland,48
Texas,47
Mississippi,47
Wisconsin,46
New York,46
North Carolina,46
Nevada,45
West Virginia,44
Colorado,44
Michigan,43
Massachusetts,42
Hawaii,41
Illinois,39
Ohio,38
North Dakota,37
Kansas,37
Maine,36
California,36
New Mexico,35
Utah,34
South Carolina,32
Minnesota,29
Rhode Island,29
Connecticut,29
New Hampshire,27
Kentucky,27
Iowa,25
Oregon,24
Oklahoma,21
South Dakota,20
Montana,19
Washington,17
Vermont,15
Idaho,11
Wyoming,10
Alaska,10
