Category: All categories

Region,escape room: (6/1/15 - 7/1/15)
New Mexico,100
Arizona,73
District of Columbia,56
Pennsylvania,53
New York,50
New Jersey,48
Massachusetts,47
Kansas,47
Rhode Island,46
Maine,40
Nevada,37
Ohio,36
Florida,36
Montana,36
California,35
South Dakota,35
Louisiana,35
Colorado,34
Iowa,34
Missouri,34
Nebraska,34
Michigan,34
North Dakota,33
Texas,33
New Hampshire,32
Maryland,32
Tennessee,30
Utah,30
Vermont,29
Connecticut,29
Indiana,27
Oklahoma,26
Georgia,26
Wisconsin,25
Alabama,23
North Carolina,21
Arkansas,21
Mississippi,20
Oregon,20
Hawaii,20
Kentucky,19
Illinois,17
Virginia,17
West Virginia,17
Washington,17
Minnesota,15
Idaho,15
Delaware,14
Alaska,14
South Carolina,10
Wyoming,
