Category: All categories

Region,escape room: (1/1/13 - 2/1/13)
North Dakota,100
Rhode Island,92
New Hampshire,90
Wyoming,83
Delaware,83
Alaska,71
Maine,59
Vermont,57
South Dakota,52
Idaho,50
Tennessee,45
New Mexico,45
Oklahoma,45
West Virginia,43
Montana,42
Alabama,42
Kentucky,41
Iowa,38
Pennsylvania,37
North Carolina,36
Virginia,35
South Carolina,33
Arkansas,30
Ohio,29
Louisiana,25
Wisconsin,23
Utah,23
Indiana,23
Michigan,23
California,22
Kansas,22
Illinois,22
Hawaii,22
Arizona,22
Nevada,21
District of Columbia,21
Missouri,20
New Jersey,20
Massachusetts,20
Texas,20
Georgia,20
New York,19
Mississippi,19
Nebraska,19
Oregon,18
Maryland,17
Minnesota,17
Washington,15
Florida,14
Connecticut,14
Colorado,9
