Category: All categories

Region,escape room: (8/1/13 - 9/1/13)
West Virginia,100
Delaware,94
North Dakota,89
Oklahoma,55
Kentucky,54
Arkansas,47
New Hampshire,47
South Dakota,47
Nebraska,46
Idaho,44
South Carolina,43
Vermont,42
Wisconsin,41
Iowa,41
Indiana,38
Rhode Island,37
Michigan,36
North Carolina,36
Virginia,36
Ohio,36
Tennessee,35
Connecticut,34
District of Columbia,33
Hawaii,33
Minnesota,31
Missouri,30
Illinois,30
Utah,30
Arizona,29
Colorado,29
Pennsylvania,28
New Jersey,28
Maryland,27
Oregon,26
Washington,26
Alabama,26
Massachusetts,26
California,24
Texas,24
Nevada,23
Mississippi,23
Maine,21
Louisiana,20
New York,19
Florida,17
Georgia,16
Kansas,11
Alaska,
Montana,
New Mexico,
Wyoming,
