Category: All categories

Region,escape room: (1/1/16 - 2/1/16)
Delaware,100
Indiana,70
New Jersey,66
Nebraska,63
Arkansas,61
Pennsylvania,61
Virginia,59
District of Columbia,55
Missouri,54
New York,52
Colorado,43
Arizona,42
Georgia,42
Maryland,41
Massachusetts,40
Kansas,38
Ohio,37
New Mexico,35
Rhode Island,35
Illinois,34
South Dakota,34
Maine,34
Texas,30
Tennessee,30
Florida,29
California,29
Louisiana,28
Michigan,28
Utah,27
Wisconsin,27
North Carolina,27
Mississippi,27
Oklahoma,24
Alabama,23
North Dakota,23
Minnesota,22
Hawaii,22
Connecticut,21
Oregon,20
Nevada,20
Kentucky,20
West Virginia,18
Wyoming,17
Iowa,17
New Hampshire,14
Montana,14
Washington,13
South Carolina,13
Vermont,9
Idaho,7
Alaska,
