Category: All categories

Region,escape room: (11/1/15 - 12/1/15)
Delaware,100
Nebraska,62
Virginia,61
Indiana,58
New Jersey,58
Maine,54
Pennsylvania,53
District of Columbia,53
New York,49
Colorado,42
Arizona,40
Missouri,40
Maryland,40
North Dakota,36
Georgia,35
Ohio,34
Tennessee,34
Utah,33
Nevada,31
Massachusetts,31
Illinois,30
Michigan,29
Louisiana,28
Texas,27
Arkansas,27
Montana,27
Florida,26
California,26
West Virginia,26
Wyoming,25
North Carolina,24
Wisconsin,23
Kansas,23
Connecticut,22
Rhode Island,21
Iowa,21
New Mexico,19
Washington,19
Minnesota,19
South Dakota,18
New Hampshire,17
Oregon,17
Alaska,17
South Carolina,14
Alabama,13
Mississippi,13
Vermont,10
Kentucky,9
Hawaii,9
Oklahoma,7
Idaho,6
