Category: All categories

Region,escape room: (11/1/16 - 12/1/16)
Delaware,100
Indiana,95
District of Columbia,94
New Jersey,91
Pennsylvania,86
Missouri,85
Maine,83
Nebraska,80
Virginia,78
Michigan,77
Kansas,68
Colorado,67
Maryland,64
Massachusetts,64
Utah,64
Tennessee,63
Wisconsin,63
New York,63
Connecticut,61
Rhode Island,61
Georgia,61
Minnesota,60
Louisiana,59
Illinois,58
Arizona,58
Ohio,57
Florida,56
Arkansas,54
North Dakota,51
North Carolina,51
Vermont,50
Texas,50
Mississippi,49
Oregon,49
Nevada,49
California,49
New Hampshire,48
New Mexico,44
South Carolina,41
Hawaii,40
Oklahoma,39
West Virginia,39
Idaho,38
Iowa,35
Alaska,34
Alabama,33
Montana,32
Washington,31
Kentucky,31
South Dakota,30
Wyoming,10
