Category: All categories

Region,escape room: (11/1/15 - 1/1/16)
Delaware,100
Nebraska,69
Indiana,64
Maine,61
New Jersey,60
North Dakota,58
District of Columbia,58
Pennsylvania,58
Virginia,56
New York,50
Missouri,48
Arizona,42
Colorado,39
Georgia,38
Arkansas,38
Maryland,36
Wisconsin,36
West Virginia,35
Ohio,34
Massachusetts,34
Tennessee,33
Connecticut,32
Illinois,31
Florida,31
Montana,30
California,30
New Mexico,28
Michigan,28
Louisiana,28
Texas,27
Iowa,27
Nevada,26
Utah,26
Wyoming,25
North Carolina,23
Kansas,23
Oregon,20
Minnesota,20
Hawaii,20
South Dakota,20
Rhode Island,18
South Carolina,18
New Hampshire,17
Kentucky,17
Washington,16
Alabama,14
Mississippi,14
Vermont,13
Idaho,12
Oklahoma,12
Alaska,11
