Category: All categories

Region,escape room: (7/1/14 - 8/1/14)
South Dakota,100
New York,76
Delaware,39
Connecticut,39
Wyoming,38
Maine,36
New Jersey,34
Alaska,32
Florida,26
Nevada,25
Vermont,24
Mississippi,22
New Hampshire,22
Rhode Island,20
Alabama,20
Ohio,19
Texas,19
Tennessee,19
Missouri,19
Hawaii,18
Idaho,18
Illinois,17
South Carolina,16
Maryland,16
New Mexico,16
California,15
Kentucky,15
Georgia,14
Indiana,13
Arkansas,13
West Virginia,13
Pennsylvania,13
Massachusetts,13
Oklahoma,13
Wisconsin,13
Michigan,12
Louisiana,12
Washington,11
Colorado,10
Minnesota,10
Kansas,10
Iowa,10
Arizona,10
Utah,8
Virginia,7
North Carolina,5
District of Columbia,5
Oregon,2
Montana,
North Dakota,
Nebraska,
