Category: All categories

Region,escape room: (7/1/18 - 8/1/18)
South Carolina,100
Nevada,98
Delaware,95
Virginia,92
Louisiana,88
Wisconsin,85
Pennsylvania,84
Florida,80
Maryland,80
New Mexico,80
Nebraska,79
New Jersey,79
Texas,78
Utah,78
North Carolina,78
Illinois,78
Missouri,77
North Dakota,77
Tennessee,76
Colorado,75
Michigan,74
New Hampshire,73
Minnesota,72
District of Columbia,71
Indiana,70
Arizona,70
Kansas,67
Arkansas,67
Vermont,67
Mississippi,67
Connecticut,65
West Virginia,65
Georgia,64
Alaska,62
California,62
Idaho,61
Montana,60
Oklahoma,60
Massachusetts,56
Maine,56
Kentucky,55
New York,55
Alabama,53
South Dakota,53
Ohio,52
Wyoming,51
Rhode Island,51
Washington,49
Oregon,49
Iowa,48
Hawaii,43
