Category: All categories

Region,escape room: (9/1/15 - 10/1/15)
Delaware,100
Pennsylvania,72
District of Columbia,66
North Dakota,65
New Jersey,64
Virginia,63
Missouri,61
Arizona,58
Maine,56
Louisiana,54
New York,53
Nebraska,51
Colorado,46
Indiana,45
Georgia,45
Florida,44
Maryland,43
Massachusetts,42
Kansas,41
Rhode Island,41
Texas,40
Michigan,40
California,39
Ohio,39
Utah,38
Wisconsin,37
Tennessee,37
Illinois,37
Iowa,35
Arkansas,35
South Dakota,35
Oregon,35
Montana,30
Connecticut,29
Nevada,28
North Carolina,27
Kentucky,25
Minnesota,25
New Mexico,24
South Carolina,23
Washington,23
New Hampshire,22
Oklahoma,20
Mississippi,17
Alabama,17
West Virginia,16
Vermont,12
Idaho,11
Alaska,10
Hawaii,5
Wyoming,
