Category: All categories

Region,escape room: (1/1/18 - 2/1/18)
Pennsylvania,100
Vermont,97
New Jersey,92
Michigan,91
North Dakota,91
Nebraska,88
Virginia,88
District of Columbia,87
Indiana,85
Delaware,84
Minnesota,83
Illinois,82
Maryland,82
Montana,80
Florida,79
Wisconsin,79
Nevada,79
New Mexico,78
New Hampshire,77
Colorado,74
Utah,73
Wyoming,72
Mississippi,72
Iowa,71
Kansas,71
Arizona,70
New York,70
South Carolina,69
Louisiana,68
Idaho,68
Missouri,67
Maine,67
Tennessee,67
Ohio,66
Rhode Island,65
Massachusetts,64
North Carolina,64
West Virginia,64
Texas,64
Connecticut,62
California,62
Alaska,61
Georgia,60
Oregon,60
Washington,58
Arkansas,57
Hawaii,54
South Dakota,50
Alabama,45
Kentucky,43
Oklahoma,41
