Category: All categories

Region,escape room: (1/1/15 - 2/1/15)
Pennsylvania,100
New York,100
District of Columbia,90
New Jersey,86
Massachusetts,84
Arizona,83
New Hampshire,75
South Dakota,60
Nevada,60
Delaware,58
Maryland,56
Tennessee,40
Montana,40
California,39
Washington,36
Connecticut,35
Texas,35
Michigan,34
North Dakota,31
Colorado,29
Vermont,28
Utah,28
Oklahoma,28
West Virginia,27
Florida,27
Maine,25
Iowa,24
South Carolina,23
Kentucky,23
Illinois,22
Kansas,21
Hawaii,19
Louisiana,18
Ohio,18
Rhode Island,18
Virginia,17
Indiana,16
Wisconsin,16
Nebraska,16
Idaho,16
Georgia,15
Alabama,14
North Carolina,14
Minnesota,13
Missouri,13
Mississippi,12
Oregon,10
Alaska,
Arkansas,
New Mexico,
Wyoming,
