Category: All categories

Region,escape room: (5/1/13 - 6/1/13)
Wyoming,100
Vermont,58
Montana,51
South Dakota,50
Delaware,47
North Dakota,47
Kentucky,46
Alaska,38
West Virginia,36
Indiana,33
New Hampshire,33
Maine,30
Nebraska,28
New Mexico,27
New Jersey,24
Ohio,23
Mississippi,23
Kansas,22
Alabama,21
Michigan,21
Wisconsin,20
Missouri,20
Washington,18
Arizona,18
Arkansas,18
Rhode Island,17
Pennsylvania,16
Idaho,15
Minnesota,15
Iowa,15
Maryland,15
North Carolina,14
Tennessee,14
California,13
Oklahoma,13
Massachusetts,13
Colorado,13
District of Columbia,12
Illinois,12
Hawaii,12
Virginia,12
Texas,12
Connecticut,12
Nevada,11
Florida,11
South Carolina,11
Georgia,11
New York,10
Louisiana,9
Utah,7
Oregon,6
