Category: All categories

Region,escape room: (9/1/17 - 10/1/17)
Delaware,100
New Jersey,71
Pennsylvania,71
District of Columbia,69
Arizona,67
Indiana,66
Maine,65
Utah,65
Virginia,62
Louisiana,60
Michigan,60
Missouri,58
West Virginia,58
Arkansas,57
Nebraska,57
Colorado,55
Alaska,55
Connecticut,53
Nevada,52
Maryland,52
South Carolina,51
Illinois,51
Wisconsin,50
Kansas,50
North Carolina,50
Minnesota,49
Florida,48
New Hampshire,48
New York,47
Montana,46
Idaho,46
California,45
Vermont,44
Tennessee,44
Massachusetts,43
Ohio,42
Texas,42
Oregon,42
Mississippi,41
Georgia,41
New Mexico,40
North Dakota,40
Washington,39
South Dakota,36
Oklahoma,35
Rhode Island,34
Hawaii,34
Iowa,33
Kentucky,31
Alabama,29
Wyoming,22
