Category: All categories

Region,escape room: (4/1/14 - 5/1/14)
Delaware,100
New York,95
North Dakota,56
Iowa,49
West Virginia,45
Mississippi,40
New Jersey,40
Massachusetts,40
South Dakota,39
Oklahoma,39
Idaho,38
Indiana,35
Alaska,35
Pennsylvania,33
Ohio,33
Kansas,30
Arkansas,28
Louisiana,28
Tennessee,26
Hawaii,26
Washington,26
South Carolina,23
Rhode Island,21
North Carolina,21
Georgia,21
California,20
Arizona,20
Wisconsin,20
Florida,20
Colorado,19
District of Columbia,19
Illinois,19
Virginia,19
New Hampshire,18
New Mexico,18
Michigan,17
Oregon,17
Connecticut,17
Minnesota,16
Missouri,15
Maryland,15
Alabama,15
Nevada,14
Kentucky,14
Texas,13
Nebraska,13
Utah,9
Maine,
Montana,
Vermont,
Wyoming,
