Category: All categories

Region,escape room: (4/1/16 - 5/1/16)
Delaware,100
New Jersey,63
Virginia,60
Missouri,60
Nebraska,57
Maine,57
Pennsylvania,56
Indiana,55
District of Columbia,50
West Virginia,49
New York,49
Colorado,48
Michigan,48
Arkansas,47
Georgia,46
Illinois,45
Louisiana,44
Tennessee,44
Arizona,43
Massachusetts,42
Wisconsin,41
Mississippi,40
Florida,39
Maryland,39
New Hampshire,38
Ohio,36
Montana,35
California,34
Utah,33
Texas,32
Rhode Island,31
Minnesota,31
South Carolina,29
Hawaii,28
North Carolina,28
New Mexico,27
Kansas,27
Iowa,27
Connecticut,27
Alabama,25
Oregon,25
North Dakota,24
Oklahoma,23
Kentucky,23
Nevada,21
Vermont,20
Washington,19
South Dakota,18
Alaska,9
Wyoming,9
Idaho,9
