Category: All categories

Region,escape room: (5/1/17 - 6/1/17)
Delaware,100
District of Columbia,64
Indiana,61
Missouri,60
Maryland,60
Pennsylvania,59
New Jersey,59
Virginia,58
Maine,58
Rhode Island,57
Michigan,56
New Mexico,55
Nebraska,54
New Hampshire,53
Colorado,53
Arkansas,53
Florida,52
Mississippi,51
Louisiana,49
Tennessee,48
Arizona,47
Illinois,46
Wisconsin,45
North Carolina,45
Nevada,45
West Virginia,45
Georgia,44
Massachusetts,44
South Carolina,44
New York,44
Utah,43
Kansas,43
Texas,43
Ohio,42
Connecticut,41
North Dakota,40
Minnesota,40
California,39
Montana,36
Vermont,36
Iowa,35
Oregon,34
Alaska,33
South Dakota,33
Idaho,30
Alabama,30
Hawaii,30
Wyoming,24
Washington,24
Oklahoma,23
Kentucky,22
