Category: All categories

Region,escape room: (5/1/18 - 6/1/18)
Florida,100
Delaware,98
Virginia,97
Louisiana,93
Alaska,91
New Jersey,90
Colorado,88
Pennsylvania,88
Nevada,87
Arkansas,87
Maryland,87
Missouri,86
South Carolina,85
New Mexico,85
Arizona,83
Wisconsin,83
Utah,81
Indiana,80
North Dakota,77
Idaho,76
Illinois,75
Montana,74
Mississippi,73
West Virginia,73
North Carolina,71
Tennessee,71
California,70
Texas,70
Kansas,69
Connecticut,68
Massachusetts,68
Michigan,67
Vermont,67
Oregon,67
District of Columbia,67
Minnesota,65
Ohio,65
New Hampshire,65
Iowa,63
Georgia,63
Nebraska,62
Washington,61
New York,60
South Dakota,60
Wyoming,60
Maine,59
Rhode Island,55
Oklahoma,54
Hawaii,51
Kentucky,47
Alabama,44
