Category: All categories

Region,escape room: (3/1/15 - 4/1/15)
New York,100
South Dakota,84
District of Columbia,80
Pennsylvania,80
Massachusetts,70
Arizona,66
Tennessee,64
Wyoming,64
New Jersey,59
Idaho,58
Utah,56
Colorado,54
Connecticut,54
West Virginia,54
Nevada,53
Texas,51
Maryland,50
California,49
Vermont,48
Michigan,45
New Hampshire,45
Florida,43
Louisiana,40
North Carolina,36
Hawaii,35
New Mexico,34
Oklahoma,32
Ohio,31
Minnesota,31
Illinois,30
Wisconsin,28
Mississippi,28
North Dakota,28
Alaska,27
Washington,27
Iowa,26
Delaware,25
Missouri,25
South Carolina,25
Virginia,24
Kansas,24
Rhode Island,23
Montana,23
Indiana,22
Georgia,21
Alabama,20
Nebraska,19
Arkansas,17
Kentucky,15
Oregon,15
Maine,15
