Category: All categories

Region,escape room: (8/1/16 - 9/1/16)
Delaware,100
Indiana,82
New Jersey,78
Missouri,77
Virginia,76
Pennsylvania,72
Maine,68
Maryland,68
District of Columbia,65
Arkansas,62
New York,59
Nebraska,58
South Carolina,57
Florida,56
North Dakota,56
Louisiana,53
Tennessee,53
Michigan,53
Arizona,53
Vermont,52
Wisconsin,51
West Virginia,50
Connecticut,50
Kansas,49
New Hampshire,48
Georgia,48
Massachusetts,48
Texas,47
Rhode Island,47
Mississippi,46
Colorado,46
South Dakota,45
North Carolina,45
Utah,43
Illinois,43
Hawaii,42
Minnesota,42
Ohio,41
Nevada,40
California,39
New Mexico,37
Idaho,33
Oregon,33
Alabama,33
Iowa,29
Alaska,28
Kentucky,28
Oklahoma,26
Wyoming,24
Montana,21
Washington,19
