Category: All categories

Region,escape room: (4/1/13 - 5/1/13)
North Dakota,100
Wyoming,65
Kentucky,48
Tennessee,42
Maine,42
South Dakota,42
Vermont,40
Missouri,38
Wisconsin,36
Rhode Island,35
Montana,34
Idaho,31
Mississippi,31
Iowa,30
Connecticut,29
Indiana,27
New Mexico,27
Pennsylvania,26
Alabama,25
Arkansas,24
Minnesota,24
Kansas,24
Utah,23
Nevada,22
Ohio,21
California,21
Michigan,20
Maryland,20
Washington,20
Illinois,19
Louisiana,19
Colorado,18
South Carolina,18
Hawaii,18
New Hampshire,18
Oregon,18
Arizona,17
Texas,16
Virginia,15
New Jersey,14
Nebraska,14
Georgia,14
Oklahoma,13
Florida,13
Massachusetts,12
New York,12
North Carolina,12
District of Columbia,10
Alaska,
Delaware,
West Virginia,
